open goals,0
Nodes,320,247
Branches,19,616
Interactive steps,0
Symbolic execution steps,18255
Automode time,20min
Automode time,1253951ms
Avg. time per step,3.915ms
Rule applications
Quantifier instantiations,825
One-step Simplifier apps,46865
SMT solver apps,0
Dependency Contract apps,0
Operation Contract apps,6
Block/Loop Contract apps,0
Loop invariant apps,0
Merge Rule apps,0
Total rule apps,338,309
